episode,cpu_time,seed,total_reward,timesteps,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
1,1.765625,42,-0.5,100,-0.5,0,8,8,0,0.5,9,17,9,0,0.5,6,0,6,18,-1.0,0,18,6,19
2,0.6875,42,6.0,40,1.5,0,11,3,10,1.5,3,17,9,13,1.5,9,5,0,16,1.5,5,1,5,0
3,0.578125,42,6.0,31,1.5,6,11,3,16,1.5,9,3,1,0,1.5,3,13,3,17,1.5,8,1,6,2
4,0.625,42,6.0,34,1.5,6,3,9,4,1.5,0,5,6,10,1.5,9,9,3,1,1.5,0,8,9,6
5,0.65625,42,6.0,34,1.5,7,1,9,17,1.5,3,8,9,10,1.5,6,16,3,17,1.5,0,15,0,6
6,0.703125,42,6.0,34,1.5,8,1,3,18,1.5,0,17,0,4,1.5,7,1,4,1,1.5,6,14,3,9
7,1.0,42,6.0,48,1.5,0,14,3,9,1.5,6,14,3,13,1.5,7,0,9,17,1.5,6,2,9,12
8,2.109375,42,0.5,100,0.5,9,11,9,1,0.5,0,7,3,18,0.5,3,10,0,17,-1.0,3,5,3,19
9,0.953125,42,6.0,42,1.5,6,15,6,3,1.5,3,6,9,14,1.5,3,19,6,13,1.5,0,11,1,0
10,0.890625,42,6.0,41,1.5,0,14,0,8,1.5,6,9,8,0,1.5,9,4,3,4,1.5,3,16,6,16
11,0.71875,42,6.0,33,1.5,3,16,9,10,1.5,9,5,2,0,1.5,9,2,3,2,1.5,9,4,3,11
12,0.765625,42,6.0,36,1.5,6,10,9,2,1.5,9,4,9,1,1.5,0,12,0,0,1.5,6,14,0,18
13,0.65625,42,6.0,30,1.5,8,1,3,1,1.5,3,19,3,18,1.5,6,13,6,3,1.5,9,0,6,16
14,0.71875,42,6.0,34,1.5,6,4,0,10,1.5,0,12,6,13,1.5,0,3,3,16,1.5,5,0,2,0
15,0.609375,42,6.0,27,1.5,3,19,8,0,1.5,6,4,6,2,1.5,9,6,6,10,1.5,6,12,0,7
16,0.484375,42,6.0,23,1.5,6,3,0,2,1.5,3,3,3,16,1.5,9,1,3,7,1.5,0,8,6,7
17,0.78125,42,6.0,36,1.5,0,19,9,6,1.5,3,13,1,1,1.5,3,1,0,3,1.5,9,18,9,19
18,0.65625,42,6.0,30,1.5,0,5,3,3,1.5,3,1,6,12,1.5,9,6,3,15,1.5,9,3,9,12
19,2.078125,42,0.5,100,0.5,6,3,6,13,-1.0,9,0,3,14,0.5,5,0,3,13,0.5,0,11,9,19
20,2.109375,42,0.5,100,-1.0,3,5,0,9,0.5,3,6,8,0,0.5,0,15,0,8,0.5,9,2,0,2
21,2.09375,42,0.5,100,0.5,6,16,9,10,-1.0,6,17,9,14,0.5,3,18,5,0,0.5,6,18,0,14
22,0.65625,42,6.0,31,1.5,4,1,3,11,1.5,3,17,3,3,1.5,6,16,1,1,1.5,0,14,0,15
23,0.6875,42,6.0,31,1.5,6,9,0,8,1.5,3,9,0,10,1.5,6,7,3,7,1.5,6,14,9,16
24,0.71875,42,6.0,33,1.5,9,16,6,16,1.5,9,11,3,0,1.5,3,9,3,18,1.5,3,7,4,1
25,0.484375,42,6.0,22,1.5,9,17,9,0,1.5,8,1,6,19,1.5,3,0,3,17,1.5,8,0,6,17
26,2.078125,42,0.5,100,0.5,0,7,0,11,-1.0,3,17,0,18,0.5,0,8,6,16,0.5,3,1,9,11
27,0.53125,42,6.0,24,1.5,3,4,0,16,1.5,6,5,9,6,1.5,9,2,3,18,1.5,6,18,6,2
28,0.78125,42,6.0,36,1.5,7,1,3,15,1.5,6,18,6,9,1.5,4,1,3,4,1.5,0,1,6,13
29,0.703125,42,6.0,32,1.5,6,5,0,7,1.5,6,11,3,14,1.5,0,8,7,1,1.5,0,12,6,9
30,0.796875,42,6.0,37,1.5,0,3,3,6,1.5,4,1,0,13,1.5,0,16,6,12,1.5,9,0,0,17
31,0.734375,42,6.0,32,1.5,0,9,0,15,1.5,6,6,9,13,1.5,0,16,3,3,1.5,6,14,9,1
32,0.796875,42,6.0,36,1.5,6,5,6,6,1.5,3,7,0,2,1.5,3,17,3,3,1.5,9,19,6,8
33,0.734375,42,6.0,35,1.5,9,16,9,0,1.5,4,0,0,7,1.5,3,14,0,5,1.5,0,13,3,18
34,0.71875,42,6.0,33,1.5,4,0,9,14,1.5,4,1,6,4,1.5,6,13,0,14,1.5,3,1,3,16
35,0.453125,42,6.0,20,1.5,3,19,3,6,1.5,3,0,5,1,1.5,9,2,6,2,1.5,6,1,9,15
36,0.734375,42,6.0,33,1.5,3,16,9,4,1.5,0,1,9,10,1.5,3,2,0,0,1.5,9,6,3,9
37,0.65625,42,6.0,29,1.5,0,12,0,9,1.5,6,2,0,10,1.5,3,3,6,13,1.5,6,1,3,5
38,0.84375,42,6.0,38,1.5,2,0,9,14,1.5,6,19,3,5,1.5,6,12,8,0,1.5,3,1,6,18
39,2.109375,42,0.5,100,0.5,6,8,0,3,0.5,9,17,6,3,-1.0,9,12,0,12,0.5,0,9,1,1
40,0.875,42,6.0,41,1.5,3,10,9,2,1.5,9,4,3,5,1.5,3,4,9,16,1.5,6,2,3,18
41,0.96875,42,6.0,44,1.5,9,15,5,1,1.5,3,2,2,1,1.5,6,10,9,11,1.5,0,18,6,9
42,0.75,42,6.0,35,1.5,9,14,0,4,1.5,0,15,3,16,1.5,0,16,3,3,1.5,9,19,6,1
43,0.765625,42,6.0,35,1.5,9,19,7,0,1.5,9,10,9,9,1.5,0,13,9,5,1.5,9,17,0,8
44,0.6875,42,6.0,32,1.5,9,10,3,5,1.5,5,1,8,1,1.5,0,10,0,2,1.5,1,0,3,19
45,0.75,42,6.0,34,1.5,6,12,0,8,1.5,3,10,7,0,1.5,3,13,6,19,1.5,3,6,9,9
46,0.953125,42,6.0,43,1.5,3,0,2,0,1.5,9,14,0,11,1.5,0,0,0,2,1.5,3,10,9,15
47,0.71875,42,6.0,33,1.5,9,4,0,16,1.5,0,14,6,7,1.5,9,10,3,9,1.5,0,6,7,0
48,0.765625,42,6.0,36,1.5,9,8,3,4,1.5,0,18,8,1,1.5,0,4,9,19,1.5,6,18,3,1
49,0.96875,42,6.0,45,1.5,9,17,0,13,1.5,5,0,0,1,1.5,4,1,9,13,1.5,3,5,3,15
50,0.59375,42,6.0,27,1.5,1,1,6,14,1.5,0,12,0,11,1.5,3,1,9,17,1.5,0,16,0,1
51,0.828125,42,6.0,39,1.5,5,0,6,5,1.5,6,15,0,18,1.5,9,13,3,14,1.5,3,3,8,0
52,1.0625,42,6.0,49,1.5,9,1,6,19,1.5,6,17,0,12,1.5,0,2,9,3,1.5,9,7,0,7
53,0.671875,42,6.0,31,1.5,0,11,3,12,1.5,9,13,3,3,1.5,6,4,9,17,1.5,3,15,0,7
54,0.5625,42,6.0,25,1.5,4,0,9,15,1.5,6,12,3,2,1.5,5,0,5,1,1.5,0,12,3,4
55,0.640625,42,6.0,29,1.5,9,13,6,3,1.5,0,2,6,10,1.5,4,1,0,13,1.5,9,16,6,6
56,0.78125,42,6.0,36,1.5,0,9,3,14,1.5,0,12,9,16,1.5,6,18,0,0,1.5,9,5,7,0
57,2.078125,42,0.5,100,0.5,6,6,9,2,-1.0,9,13,3,18,0.5,0,16,3,15,0.5,0,15,6,19
58,0.40625,42,6.0,19,1.5,9,0,0,10,1.5,0,1,9,4,1.5,9,5,3,2,1.5,6,10,6,13
59,0.5625,42,6.0,25,1.5,9,1,6,0,1.5,1,1,6,7,1.5,3,18,8,0,1.5,2,1,3,6
60,2.125,42,0.5,100,-1.0,9,7,3,13,0.5,6,7,3,10,0.5,7,1,0,10,0.5,9,13,3,2
61,0.65625,42,6.0,31,1.5,3,15,9,7,1.5,6,11,3,17,1.5,0,10,3,1,1.5,9,13,9,16
62,0.5,42,6.0,22,1.5,2,0,7,0,1.5,1,1,9,3,1.5,3,0,9,5,1.5,6,0,9,19
63,1.203125,42,6.0,56,1.5,0,9,6,6,1.5,0,6,0,13,1.5,9,9,3,8,1.5,9,16,3,19
64,2.078125,42,0.5,100,0.5,9,3,0,13,-1.0,3,4,0,15,0.5,3,5,6,7,0.5,0,17,9,12
65,0.765625,42,6.0,36,1.5,3,2,6,1,1.5,3,17,6,17,1.5,6,5,0,1,1.5,0,14,0,10
66,0.828125,42,6.0,38,1.5,0,17,3,15,1.5,9,4,5,1,1.5,0,16,6,6,1.5,0,5,0,4
67,0.734375,42,6.0,34,1.5,9,1,9,18,1.5,9,4,6,19,1.5,3,12,5,0,1.5,6,14,3,5
68,0.71875,42,6.0,33,1.5,9,0,4,1,1.5,6,1,9,9,1.5,9,6,0,16,1.5,9,8,0,3
69,0.59375,42,6.0,27,1.5,1,0,9,15,1.5,6,11,3,1,1.5,2,0,3,14,1.5,1,1,6,4
70,0.765625,42,6.0,35,1.5,0,0,9,10,1.5,9,13,0,8,1.5,3,10,0,9,1.5,0,4,6,0
71,0.671875,42,6.0,30,1.5,0,9,6,15,1.5,3,13,9,1,1.5,0,4,9,5,1.5,9,4,9,13
72,0.625,42,6.0,29,1.5,2,0,6,5,1.5,3,5,6,9,1.5,9,18,8,1,1.5,9,11,9,1
73,0.640625,42,6.0,29,1.5,6,8,9,3,1.5,6,19,3,5,1.5,8,1,6,1,1.5,6,11,0,12
74,0.515625,42,6.0,23,1.5,9,16,9,0,1.5,9,4,6,15,1.5,9,6,3,11,1.5,5,1,3,18
75,0.546875,42,6.0,26,1.5,2,0,3,15,1.5,0,5,0,15,1.5,3,0,3,19,1.5,6,10,0,12
76,0.65625,42,6.0,30,1.5,6,7,5,0,1.5,3,7,3,6,1.5,1,1,6,19,1.5,3,14,3,9
77,0.71875,42,6.0,33,1.5,3,10,3,3,1.5,6,15,9,15,1.5,0,16,9,0,1.5,3,15,1,1
78,0.6875,42,6.0,32,1.5,9,12,3,6,1.5,4,0,6,1,1.5,9,6,3,18,1.5,6,13,8,0
79,1.109375,42,6.0,51,1.5,9,6,9,2,1.5,6,12,6,1,1.5,4,1,6,2,1.5,9,16,0,18
80,2.109375,42,0.5,100,0.5,6,10,6,19,-1.0,3,2,0,18,0.5,0,6,0,3,0.5,8,0,0,16
81,2.078125,42,0.5,100,0.5,6,15,0,12,0.5,9,7,6,8,-1.0,5,0,9,15,0.5,6,6,9,12
82,0.71875,42,6.0,34,1.5,0,8,0,7,1.5,6,18,9,14,1.5,6,9,6,0,1.5,6,10,6,5
83,2.109375,42,0.5,100,0.5,0,12,3,13,-1.0,0,15,3,16,0.5,9,16,6,6,0.5,6,18,9,1
84,0.828125,42,6.0,39,1.5,9,19,0,8,1.5,9,13,6,18,1.5,9,1,2,1,1.5,9,0,9,15
85,0.703125,42,6.0,32,1.5,0,4,0,15,1.5,5,1,6,3,1.5,0,8,0,11,1.5,6,6,6,8
86,2.125,42,0.5,100,0.5,6,4,6,0,0.5,3,18,8,0,-1.0,3,19,6,18,0.5,0,0,6,14
87,0.671875,42,6.0,31,1.5,9,1,6,7,1.5,4,1,9,13,1.5,5,1,0,12,1.5,9,12,1,1
88,0.640625,42,6.0,29,1.5,0,11,0,8,1.5,0,10,6,12,1.5,9,0,4,0,1.5,9,5,6,18
89,0.9375,42,6.0,44,1.5,3,14,6,13,1.5,8,1,9,10,1.5,9,12,3,6,1.5,6,19,0,19
90,0.453125,42,6.0,21,1.5,8,0,3,9,1.5,3,0,3,4,1.5,6,10,6,0,1.5,9,3,9,1
91,0.8125,42,6.0,38,1.5,0,14,9,14,1.5,0,13,3,16,1.5,9,16,6,3,1.5,3,4,0,7
92,0.71875,42,6.0,34,1.5,3,11,9,15,1.5,0,16,3,9,1.5,0,11,9,14,1.5,6,19,6,2
93,0.484375,42,6.0,23,1.5,6,8,6,11,1.5,0,12,0,0,1.5,4,0,9,18,1.5,8,1,3,10
94,2.109375,42,0.5,100,0.5,9,5,3,0,-1.0,3,14,9,8,0.5,9,15,9,6,0.5,6,18,0,10
95,0.6875,42,6.0,31,1.5,0,11,6,15,1.5,6,6,0,1,1.5,3,19,6,2,1.5,6,10,0,2
96,2.125,42,0.5,100,0.5,3,17,3,3,-1.0,9,3,3,18,0.5,6,18,9,17,0.5,0,8,3,15
97,0.890625,42,6.0,41,1.5,3,16,9,12,1.5,3,3,8,1,1.5,0,1,6,19,1.5,3,5,5,1
98,0.59375,42,6.0,27,1.5,0,10,9,8,1.5,9,19,3,2,1.5,3,11,6,14,1.5,6,2,0,4
99,0.34375,42,6.0,16,1.5,9,4,9,19,1.5,0,9,0,12,1.5,0,3,0,2,1.5,8,1,6,13
100,0.84375,42,6.0,39,1.5,6,9,9,7,1.5,6,14,2,0,1.5,0,8,0,2,1.5,6,11,9,10
