episode,cpu_time,seed,total_reward,timesteps,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y
1,1.40625,42,7.5,58,1.5,5,1,3,11,1.5,6,19,4,0,1.5,7,18,9,1,1.5,8,1,5,0,1.5,7,1,0,14
2,1.28125,42,7.5,55,1.5,3,14,2,0,1.5,8,0,3,19,1.5,9,11,5,19,1.5,6,10,4,0,1.5,1,1,8,19
3,0.453125,42,7.5,20,1.5,9,3,7,10,1.5,9,6,6,9,1.5,6,0,3,0,1.5,0,7,0,19,1.5,0,10,9,0
4,0.484375,42,7.5,23,1.5,3,19,1,9,1.5,0,7,8,0,1.5,3,9,6,14,1.5,9,16,7,18,1.5,6,17,9,7
5,0.40625,42,7.5,17,1.5,5,19,9,16,1.5,4,19,6,15,1.5,4,9,7,9,1.5,0,5,9,11,1.5,3,10,0,17
6,0.515625,42,7.5,24,1.5,0,8,0,15,1.5,9,9,1,1,1.5,3,5,8,9,1.5,3,10,4,1,1.5,3,15,4,9
7,0.546875,42,7.5,23,1.5,6,1,9,0,1.5,3,6,3,18,1.5,4,10,9,13,1.5,2,0,0,18,1.5,6,15,6,13
8,1.125,42,7.5,46,1.5,7,19,3,12,1.5,0,11,8,10,1.5,6,17,3,18,1.5,3,4,9,1,1.5,6,9,9,0
9,0.4375,42,7.5,17,1.5,6,9,0,0,1.5,2,1,1,10,1.5,3,1,9,0,1.5,6,15,8,10,1.5,9,8,0,16
10,0.6875,42,7.5,26,1.5,4,9,5,0,1.5,8,0,6,0,1.5,8,1,3,0,1.5,6,13,4,1,1.5,8,9,6,17
11,2.6875,42,0.5,100,0.5,0,13,9,3,-0.5,0,16,6,11,-0.5,0,4,6,13,0.5,2,9,4,9,0.5,6,1,3,18
12,0.40625,42,7.5,15,1.5,6,9,6,5,1.5,7,18,8,9,1.5,0,9,0,10,1.5,6,2,3,3,1.5,6,1,6,0
13,0.40625,42,7.5,15,1.5,1,18,0,4,1.5,3,18,9,19,1.5,3,8,3,15,1.5,9,17,9,2,1.5,0,3,3,0
14,0.640625,42,7.5,23,1.5,3,0,0,14,1.5,0,6,3,18,1.5,8,19,3,2,1.5,9,3,6,12,1.5,2,1,9,10
15,1.046875,42,7.5,39,1.5,6,13,0,19,1.5,8,0,8,18,1.5,5,0,3,16,1.5,9,19,3,5,1.5,6,0,3,15
16,0.59375,42,7.5,21,1.5,7,19,9,8,1.5,0,12,4,1,1.5,0,2,6,16,1.5,0,10,0,18,1.5,3,6,6,19
17,1.78125,42,7.5,66,1.5,6,16,3,2,1.5,0,17,3,12,1.5,9,12,0,19,1.5,4,19,2,1,1.5,5,0,3,19
18,2.0,42,7.5,75,1.5,9,15,9,9,1.5,6,6,0,13,1.5,6,9,3,7,1.5,3,9,3,10,1.5,6,15,0,10
19,2.546875,42,7.5,95,1.5,7,18,4,0,1.5,4,1,6,19,1.5,6,17,8,0,1.5,2,18,8,1,1.5,4,19,9,16
20,1.328125,42,7.5,49,1.5,3,19,1,10,1.5,0,9,4,0,1.5,2,19,0,14,1.5,0,11,6,17,1.5,7,1,9,8
21,1.046875,42,7.5,38,1.5,5,19,7,10,1.5,8,10,9,3,1.5,3,3,4,1,1.5,6,3,0,2,1.5,6,19,1,0
22,2.671875,42,0.0,100,0.5,3,3,6,11,0.5,6,12,6,3,-1.0,6,19,0,16,-0.5,3,18,0,10,0.5,4,19,6,8
23,1.109375,42,7.5,41,1.5,8,1,3,6,1.5,7,10,4,19,1.5,0,9,1,0,1.5,3,16,1,1,1.5,6,8,0,4
24,1.03125,42,7.5,38,1.5,1,0,9,11,1.5,6,14,0,19,1.5,0,16,8,9,1.5,0,11,3,2,1.5,6,12,6,4
25,0.703125,42,7.5,26,1.5,6,7,9,15,1.5,3,19,0,2,1.5,6,3,3,2,1.5,3,8,0,17,1.5,9,18,6,4
26,1.953125,42,7.5,73,1.5,0,7,3,19,1.5,4,9,4,18,1.5,4,10,2,19,1.5,8,0,6,13,1.5,3,16,0,9
27,0.609375,42,7.5,22,1.5,4,9,5,19,1.5,6,2,9,14,1.5,0,18,2,18,1.5,5,18,3,6,1.5,9,12,8,10
28,1.484375,42,7.5,57,1.5,0,2,5,18,1.5,3,18,0,1,1.5,9,2,8,19,1.5,3,1,9,7,1.5,5,9,3,10
29,2.0,42,7.5,73,1.5,0,12,6,12,1.5,6,0,3,0,1.5,3,3,0,13,1.5,3,4,2,9,1.5,0,16,6,13
30,0.453125,42,7.5,16,1.5,0,12,2,1,1.5,7,19,9,17,1.5,9,12,9,10,1.5,3,5,2,0,1.5,7,0,6,7
31,0.78125,42,7.5,26,1.5,3,11,9,15,1.5,6,0,4,1,1.5,0,16,9,0,1.5,5,19,8,10,1.5,0,4,3,3
32,0.765625,42,7.5,27,1.5,3,1,9,19,1.5,9,14,9,9,1.5,1,10,5,1,1.5,6,9,2,10,1.5,3,4,6,8
33,0.546875,42,7.5,20,1.5,0,5,0,17,1.5,0,19,9,16,1.5,1,0,3,18,1.5,5,10,9,19,1.5,9,12,3,2
34,0.765625,42,7.5,28,1.5,1,19,0,2,1.5,7,9,4,9,1.5,0,10,5,9,1.5,9,2,3,4,1.5,9,7,0,13
35,0.53125,42,7.5,19,1.5,3,11,3,12,1.5,6,12,7,1,1.5,3,6,0,10,1.5,3,15,7,9,1.5,7,19,9,6
36,0.703125,42,7.5,25,1.5,2,1,9,7,1.5,9,12,0,7,1.5,0,0,0,14,1.5,9,13,9,0,1.5,2,18,0,3
37,0.265625,42,7.5,10,1.5,6,5,3,0,1.5,1,0,0,5,1.5,7,9,9,5,1.5,3,10,1,9,1.5,0,17,6,19
38,1.328125,42,7.5,49,1.5,9,16,9,12,1.5,8,0,3,18,1.5,9,19,5,0,1.5,3,5,0,16,1.5,3,3,4,19
39,2.640625,42,1.5,100,0.5,0,15,3,2,0.5,2,0,9,16,0.5,1,0,6,14,0.5,3,0,0,14,-0.5,0,1,0,2
40,0.671875,42,7.5,24,1.5,6,3,0,2,1.5,6,16,9,4,1.5,9,11,1,10,1.5,7,18,8,10,1.5,5,0,3,16
41,0.859375,42,7.5,32,1.5,0,15,3,14,1.5,7,1,6,1,1.5,0,9,0,14,1.5,8,19,9,11,1.5,6,18,3,18
42,0.453125,42,7.5,16,1.5,5,0,3,1,1.5,0,15,9,14,1.5,3,2,3,4,1.5,4,18,5,9,1.5,9,16,6,12
43,2.6875,42,0.5,100,-0.5,6,5,0,12,0.5,4,19,6,9,0.5,9,11,0,17,0.5,0,2,9,1,-0.5,9,15,6,0
44,1.328125,42,7.5,50,1.5,0,0,9,12,1.5,7,9,6,5,1.5,0,16,0,19,1.5,3,16,1,1,1.5,6,19,9,16
45,0.515625,42,7.5,19,1.5,6,9,0,12,1.5,3,18,0,2,1.5,8,10,9,2,1.5,4,9,6,12,1.5,7,1,8,1
46,0.421875,42,7.5,15,1.5,4,1,6,6,1.5,2,10,5,10,1.5,9,0,3,6,1.5,8,9,7,18,1.5,3,1,2,0
47,2.671875,42,0.0,100,-0.5,3,1,3,17,0.5,7,10,3,11,0.5,9,4,0,13,0.5,6,5,9,11,-1.0,9,12,3,15
48,1.0625,42,7.5,39,1.5,2,19,9,19,1.5,9,15,2,9,1.5,6,11,5,10,1.5,9,4,2,1,1.5,0,13,4,0
49,0.4375,42,7.5,16,1.5,0,12,3,9,1.5,8,18,4,10,1.5,9,1,0,7,1.5,9,15,6,4,1.5,7,9,9,6
50,1.484375,42,7.5,56,1.5,3,3,0,18,1.5,8,19,6,5,1.5,1,9,9,10,1.5,3,4,0,19,1.5,0,16,9,11
51,0.59375,42,7.5,21,1.5,0,13,1,9,1.5,0,17,6,18,1.5,6,2,0,2,1.5,4,0,0,6,1.5,3,1,5,18
52,0.734375,42,7.5,27,1.5,6,4,3,4,1.5,0,6,8,10,1.5,9,0,6,14,1.5,3,17,3,13,1.5,1,0,5,1
53,0.90625,42,7.5,34,1.5,8,1,1,1,1.5,7,1,0,5,1.5,5,0,5,18,1.5,9,5,4,19,1.5,9,18,9,2
54,1.609375,42,7.5,60,1.5,6,10,0,5,1.5,2,0,3,16,1.5,2,1,9,14,1.5,2,9,3,0,1.5,9,7,6,2
55,2.625,42,-1.0,100,0.5,9,7,0,6,-0.5,9,11,9,0,-0.5,3,11,0,10,-1.0,5,9,0,12,0.5,0,0,0,11
56,0.625,42,7.5,23,1.5,9,1,3,5,1.5,6,15,2,1,1.5,9,11,9,8,1.5,0,11,9,17,1.5,3,14,8,9
57,0.71875,42,7.5,27,1.5,6,10,5,18,1.5,8,0,0,15,1.5,6,3,7,1,1.5,6,8,8,19,1.5,8,10,6,7
58,0.625,42,7.5,23,1.5,9,0,6,10,1.5,9,16,3,12,1.5,5,1,8,0,1.5,9,3,6,15,1.5,3,5,4,1
59,0.59375,42,7.5,21,1.5,3,18,2,0,1.5,0,7,3,16,1.5,2,18,0,19,1.5,0,16,6,6,1.5,2,9,4,10
60,1.296875,42,7.5,47,1.5,3,5,2,1,1.5,5,0,1,1,1.5,3,10,3,12,1.5,7,1,6,15,1.5,3,7,3,18
61,0.828125,42,7.5,30,1.5,9,10,4,1,1.5,9,14,7,19,1.5,8,1,4,10,1.5,6,13,3,6,1.5,3,2,9,3
62,0.8125,42,7.5,30,1.5,6,11,7,18,1.5,9,2,6,0,1.5,9,15,8,10,1.5,4,18,5,10,1.5,5,18,1,10
63,0.78125,42,7.5,28,1.5,7,1,5,0,1.5,3,1,6,5,1.5,0,8,1,10,1.5,1,0,6,16,1.5,6,9,0,4
64,0.9375,42,7.5,34,1.5,6,7,6,3,1.5,0,15,6,8,1.5,9,10,0,11,1.5,9,14,7,0,1.5,9,3,6,9
65,0.53125,42,7.5,18,1.5,0,15,6,4,1.5,9,12,8,9,1.5,5,9,0,19,1.5,6,19,3,15,1.5,0,9,9,15
66,0.625,42,7.5,22,1.5,9,12,6,4,1.5,9,19,2,10,1.5,8,0,0,10,1.5,8,9,6,19,1.5,3,19,9,13
67,0.5,42,7.5,18,1.5,0,19,4,10,1.5,5,9,0,0,1.5,0,11,6,1,1.5,6,7,6,2,1.5,0,5,0,15
68,1.59375,42,7.5,58,1.5,7,18,6,5,1.5,5,9,4,19,1.5,6,14,8,9,1.5,7,0,2,1,1.5,4,9,9,10
69,0.8125,42,7.5,29,1.5,8,1,7,0,1.5,9,2,4,18,1.5,9,12,0,10,1.5,0,13,6,12,1.5,0,16,6,19
70,0.71875,42,7.5,26,1.5,6,13,8,18,1.5,7,19,7,1,1.5,9,10,3,6,1.5,1,18,9,8,1.5,3,16,7,0
71,0.4375,42,7.5,16,1.5,3,10,0,17,1.5,2,19,0,18,1.5,6,9,3,4,1.5,8,9,9,15,1.5,7,18,5,10
72,0.65625,42,7.5,24,1.5,7,1,9,14,1.5,6,0,7,0,1.5,9,12,0,14,1.5,3,18,1,0,1.5,0,10,3,12
73,0.609375,42,7.5,22,1.5,4,10,0,0,1.5,8,0,6,11,1.5,3,9,3,11,1.5,6,7,9,18,1.5,9,12,0,16
74,0.4375,42,7.5,16,1.5,0,13,4,10,1.5,9,14,6,9,1.5,9,2,9,5,1.5,3,17,0,14,1.5,6,19,2,19
75,0.71875,42,7.5,26,1.5,0,1,3,18,1.5,6,15,6,19,1.5,0,3,4,0,1.5,5,19,8,19,1.5,6,4,0,11
76,0.828125,42,7.5,30,1.5,3,19,7,1,1.5,4,1,5,1,1.5,9,16,3,3,1.5,3,4,9,10,1.5,3,2,0,1
77,0.5,42,7.5,18,1.5,9,19,9,1,1.5,0,12,6,15,1.5,5,19,9,5,1.5,3,13,3,0,1.5,8,0,0,5
78,1.390625,42,7.5,52,1.5,0,2,6,14,1.5,6,13,6,8,1.5,0,12,6,11,1.5,9,19,0,10,1.5,0,5,0,15
79,1.046875,42,7.5,39,1.5,2,1,8,10,1.5,0,3,9,3,1.5,9,4,0,16,1.5,2,9,8,0,1.5,9,8,4,0
80,1.09375,42,7.5,41,1.5,6,12,8,19,1.5,9,9,0,18,1.5,0,1,0,0,1.5,3,1,0,5,1.5,1,9,0,4
81,0.609375,42,7.5,22,1.5,2,1,6,13,1.5,8,9,2,9,1.5,9,17,9,2,1.5,9,15,0,6,1.5,6,6,3,1
82,2.203125,42,7.5,83,1.5,7,19,3,19,1.5,9,11,8,19,1.5,9,16,6,16,1.5,0,13,9,1,1.5,8,9,9,2
83,2.75,42,0.5,100,0.5,0,14,5,19,-0.5,1,10,5,18,-0.5,4,0,5,0,0.5,0,13,7,9,0.5,0,4,6,16
84,2.65625,42,1.5,100,0.5,0,18,0,1,0.5,9,2,0,6,-0.5,0,9,7,1,0.5,4,0,1,9,0.5,6,9,8,18
85,0.671875,42,7.5,25,1.5,9,17,0,8,1.5,6,18,5,1,1.5,0,11,6,6,1.5,5,9,0,6,1.5,2,19,7,9
86,1.03125,42,7.5,38,1.5,9,6,3,11,1.5,0,4,3,15,1.5,0,0,6,18,1.5,1,19,1,0,1.5,6,7,4,1
87,1.34375,42,7.5,50,1.5,9,17,2,10,1.5,1,1,5,18,1.5,7,19,4,1,1.5,3,11,8,0,1.5,0,10,6,4
88,1.140625,42,7.5,43,1.5,0,16,3,16,1.5,6,2,5,18,1.5,9,5,9,13,1.5,3,19,3,2,1.5,6,9,2,9
89,0.671875,42,7.5,25,1.5,6,11,4,1,1.5,6,17,0,18,1.5,5,18,9,13,1.5,2,10,0,17,1.5,6,3,3,19
90,2.5625,42,1.5,100,0.5,4,10,3,0,0.5,3,14,9,16,-0.5,6,16,0,13,0.5,9,9,9,13,0.5,5,0,0,15
91,2.0625,42,7.5,77,1.5,8,1,3,15,1.5,6,7,6,9,1.5,3,3,3,14,1.5,3,17,9,16,1.5,0,10,6,6
92,2.046875,42,7.5,78,1.5,9,14,0,4,1.5,9,1,3,4,1.5,3,15,6,5,1.5,1,19,9,10,1.5,0,17,6,4
93,2.796875,42,0.5,100,-0.5,0,17,6,1,0.5,4,10,6,2,0.5,3,16,0,11,0.5,4,9,3,8,-0.5,3,2,2,0
94,2.703125,42,-0.5,100,-0.5,6,7,1,9,0.5,5,19,8,1,-0.5,6,17,2,9,-0.5,6,11,3,7,0.5,6,4,3,4
95,0.65625,42,7.5,24,1.5,9,15,9,6,1.5,6,8,7,1,1.5,5,10,8,10,1.5,3,9,6,0,1.5,3,18,5,1
96,0.5625,42,7.5,20,1.5,7,1,3,4,1.5,9,2,8,9,1.5,9,10,2,19,1.5,5,0,2,9,1.5,0,14,5,9
97,0.78125,42,7.5,29,1.5,0,4,8,19,1.5,3,12,0,8,1.5,9,1,0,6,1.5,4,19,9,4,1.5,5,9,0,13
98,0.90625,42,7.5,32,1.5,3,6,0,7,1.5,3,0,7,0,1.5,0,9,1,0,1.5,6,1,3,4,1.5,0,6,4,18
99,1.296875,42,7.5,50,1.5,8,19,6,18,1.5,0,1,3,16,1.5,9,8,9,3,1.5,3,18,3,11,1.5,7,9,6,17
100,0.953125,42,7.5,35,1.5,0,13,9,19,1.5,6,5,9,15,1.5,2,1,3,10,1.5,6,13,0,8,1.5,0,17,5,0
