episode,cpu_time,seed,total_reward,timesteps,agent_1_reward,agent_1_start_x,agent_1_start_y,agent_1_goal_x,agent_1_goal_y,agent_8_reward,agent_8_start_x,agent_8_start_y,agent_8_goal_x,agent_8_goal_y,agent_15_reward,agent_15_start_x,agent_15_start_y,agent_15_goal_x,agent_15_goal_y,agent_11_reward,agent_11_start_x,agent_11_start_y,agent_11_goal_x,agent_11_goal_y,agent_10_reward,agent_10_start_x,agent_10_start_y,agent_10_goal_x,agent_10_goal_y,agent_12_reward,agent_12_start_x,agent_12_start_y,agent_12_goal_x,agent_12_goal_y,agent_14_reward,agent_14_start_x,agent_14_start_y,agent_14_goal_x,agent_14_goal_y,agent_7_reward,agent_7_start_x,agent_7_start_y,agent_7_goal_x,agent_7_goal_y,agent_9_reward,agent_9_start_x,agent_9_start_y,agent_9_goal_x,agent_9_goal_y,agent_3_reward,agent_3_start_x,agent_3_start_y,agent_3_goal_x,agent_3_goal_y,agent_13_reward,agent_13_start_x,agent_13_start_y,agent_13_goal_x,agent_13_goal_y,agent_2_reward,agent_2_start_x,agent_2_start_y,agent_2_goal_x,agent_2_goal_y,agent_0_reward,agent_0_start_x,agent_0_start_y,agent_0_goal_x,agent_0_goal_y,agent_6_reward,agent_6_start_x,agent_6_start_y,agent_6_goal_x,agent_6_goal_y,agent_5_reward,agent_5_start_x,agent_5_start_y,agent_5_goal_x,agent_5_goal_y,agent_4_reward,agent_4_start_x,agent_4_start_y,agent_4_goal_x,agent_4_goal_y
1,9.234375,42,3.5,100,0.5,0,14,1,14,0.5,13,14,14,28,0.5,15,29,6,12,0.5,19,23,19,22,-1.0,0,15,19,12,0.5,7,0,6,22,0.5,12,22,19,8,0.5,15,1,1,5,0.5,6,9,12,28,0.5,17,15,7,4,0.5,19,5,6,2,-1.0,18,15,6,11,0.5,19,4,15,14,-1.0,1,7,9,15,0.5,11,0,0,10,0.5,3,0,7,11
2,8.234375,42,24.0,77,1.5,7,5,13,14,1.5,6,3,6,16,1.5,17,22,1,15,1.5,12,14,1,24,1.5,10,15,4,0,1.5,19,16,12,28,1.5,1,6,1,2,1.5,7,6,17,29,1.5,1,21,19,6,1.5,1,13,5,29,1.5,6,28,11,1,1.5,16,15,0,22,1.5,0,17,11,0,1.5,12,29,16,28,1.5,0,29,6,27,1.5,7,4,15,15
3,11.359375,42,-1.0,100,0.5,0,1,6,28,-1.0,3,0,10,17,0.5,1,26,0,7,0.5,7,13,0,20,0.5,7,3,10,0,-1.0,10,16,10,14,-1.0,1,2,10,24,0.5,13,15,15,15,0.5,10,1,11,1,-1.0,16,1,11,28,0.5,0,8,5,0,0.5,16,15,12,14,-1.0,16,28,0,26,0.5,7,5,0,18,-1.0,12,1,10,15,0.5,15,29,18,14
4,8.78125,42,24.0,81,1.5,6,28,0,28,1.5,0,7,17,0,1.5,6,27,15,22,1.5,0,13,6,4,1.5,17,14,1,8,1.5,3,1,0,5,1.5,4,1,0,20,1.5,18,14,6,23,1.5,1,23,6,1,1.5,1,19,7,13,1.5,19,11,0,24,1.5,19,26,10,1,1.5,6,7,12,0,1.5,19,28,12,1,1.5,6,21,19,29,1.5,3,0,16,0
5,10.734375,42,5.0,100,0.5,13,1,10,25,0.5,1,4,19,21,-1.0,12,28,19,22,0.5,1,8,13,14,0.5,7,0,19,9,0.5,6,15,7,2,0.5,5,0,15,15,0.5,19,15,6,5,0.5,7,11,6,11,-1.0,13,29,19,20,0.5,1,24,2,0,0.5,7,3,6,10,0.5,14,0,11,0,0.5,7,12,0,27,0.5,19,7,6,6,0.5,1,6,0,20
6,10.5,42,24.0,93,1.5,15,29,16,29,1.5,0,18,15,1,1.5,14,0,0,21,1.5,0,29,6,26,1.5,19,7,12,0,1.5,7,2,10,29,1.5,1,16,10,19,1.5,2,29,0,4,1.5,0,22,7,10,1.5,13,29,9,15,1.5,13,15,1,2,1.5,1,29,10,18,1.5,2,0,5,1,1.5,14,15,18,15,1.5,7,0,7,4,1.5,16,1,1,10
7,10.484375,42,0.5,100,0.5,10,29,16,14,0.5,7,11,6,7,0.5,1,10,7,8,0.5,12,0,4,1,-1.0,6,3,10,21,0.5,1,3,0,5,-1.0,0,23,19,20,0.5,1,11,7,0,-1.0,1,13,10,26,-1.0,15,1,4,29,-1.0,12,22,1,4,0.5,0,19,1,9,0.5,11,22,10,20,0.5,0,9,10,19,0.5,16,1,19,27,0.5,6,23,19,12
8,11.0625,42,6.5,100,0.5,16,0,6,3,0.5,6,29,17,15,0.5,2,1,0,24,-1.0,10,16,1,2,0.5,1,6,19,6,0.5,9,14,5,0,0.5,16,28,6,0,0.5,7,10,6,11,0.5,19,15,0,2,0.5,0,18,18,1,0.5,7,6,10,0,0.5,0,14,8,1,0.5,7,4,19,19,0.5,12,14,0,4,0.5,7,9,3,29,0.5,3,0,6,28
9,10.96875,42,0.5,100,0.5,12,14,0,8,0.5,19,15,7,3,0.5,1,22,4,0,-1.0,0,24,6,0,0.5,6,1,19,21,-1.0,10,26,1,16,0.5,19,24,11,1,-1.0,14,1,17,22,0.5,15,22,16,29,0.5,3,1,10,1,-1.0,19,10,19,19,0.5,0,27,1,2,0.5,12,1,1,24,0.5,14,14,5,1,0.5,12,0,6,12,-1.0,1,25,9,15
10,10.46875,42,3.5,100,0.5,7,15,18,0,0.5,9,0,0,5,0.5,0,20,0,21,0.5,6,27,12,0,0.5,4,29,6,4,0.5,19,22,6,21,0.5,19,5,19,3,0.5,1,7,6,0,-1.0,0,10,15,22,0.5,1,28,1,21,0.5,1,4,6,13,0.5,19,8,19,4,0.5,10,28,14,29,0.5,1,11,7,5,-1.0,19,15,8,0,-1.0,19,28,0,26
11,10.84375,42,-1.0,100,0.5,14,29,13,29,-1.0,0,7,15,29,0.5,6,12,0,3,0.5,17,22,7,12,-1.0,0,15,19,23,0.5,19,5,6,27,-1.0,1,11,19,14,-1.0,1,25,19,29,-1.0,0,28,6,1,0.5,2,0,0,10,0.5,1,5,1,2,0.5,6,15,19,1,0.5,14,15,10,23,0.5,19,18,5,29,0.5,19,15,3,1,-1.0,0,1,1,14
12,10.75,42,3.5,100,-1.0,1,22,16,28,0.5,4,1,0,28,0.5,1,15,7,14,0.5,13,0,6,19,0.5,19,13,0,18,0.5,15,15,19,23,0.5,6,23,7,9,0.5,0,27,6,27,0.5,7,13,10,15,-1.0,1,0,13,28,0.5,10,19,4,29,0.5,3,0,0,5,-1.0,1,9,18,28,0.5,19,22,17,15,0.5,12,22,14,22,0.5,0,4,0,19
13,10.3125,42,3.5,100,0.5,5,29,14,29,0.5,0,5,14,22,0.5,14,0,17,15,0.5,1,3,7,5,0.5,10,1,6,26,0.5,11,1,16,0,0.5,0,24,0,4,0.5,7,12,19,14,0.5,10,22,16,28,0.5,8,1,0,1,-1.0,17,29,18,0,0.5,19,19,6,23,0.5,12,0,1,2,-1.0,19,12,1,11,-1.0,19,20,1,8,0.5,3,29,19,22
14,9.546875,42,0.5,100,-1.0,16,15,0,26,-1.0,19,14,1,24,0.5,19,13,19,2,0.5,4,0,17,29,0.5,15,0,14,28,0.5,6,22,17,0,0.5,6,13,0,24,0.5,10,24,2,1,0.5,18,29,19,28,-1.0,1,23,19,21,0.5,0,27,19,20,0.5,7,4,11,28,-1.0,1,27,6,25,-1.0,15,15,1,26,0.5,8,15,7,1,0.5,6,4,2,29
15,9.9375,42,-2.5,100,0.5,7,6,10,18,0.5,5,29,1,9,-1.0,1,5,6,18,-1.0,19,10,10,21,-1.0,1,2,6,26,0.5,19,11,8,0,-1.0,1,7,16,22,0.5,6,0,0,12,-1.0,19,12,17,22,-1.0,6,9,0,26,0.5,10,23,12,22,0.5,10,22,7,2,0.5,0,15,3,29,-1.0,17,14,13,22,0.5,1,14,0,4,0.5,1,3,9,1
16,9.9375,42,6.5,100,0.5,6,0,10,16,0.5,9,0,19,13,0.5,1,27,6,20,0.5,1,11,0,23,0.5,7,10,19,5,0.5,19,4,0,21,0.5,1,22,0,24,0.5,18,1,6,13,0.5,0,9,8,1,0.5,7,13,6,23,-1.0,1,24,17,22,0.5,19,26,19,18,0.5,17,15,11,15,0.5,16,14,0,1,0.5,19,1,0,11,0.5,14,15,3,1
17,10.65625,42,6.5,100,0.5,12,29,17,15,0.5,19,25,16,0,0.5,14,22,6,27,-1.0,15,29,1,27,0.5,10,18,11,14,0.5,10,29,2,1,0.5,10,27,1,2,0.5,1,24,7,3,0.5,6,1,6,16,0.5,17,28,7,15,0.5,11,15,0,13,0.5,0,22,9,0,0.5,19,12,1,0,0.5,19,7,17,22,0.5,16,22,18,15,0.5,18,0,19,22
18,9.765625,42,-7.0,100,-1.0,1,7,19,18,-1.0,6,11,7,3,-1.0,4,1,16,28,-1.0,6,27,18,1,-1.0,6,2,19,20,0.5,6,14,7,10,-1.0,12,29,1,16,-1.0,7,13,6,3,-1.0,14,15,9,0,0.5,10,24,19,10,-1.0,1,11,11,28,0.5,6,23,12,14,0.5,7,7,16,14,0.5,6,12,15,22,0.5,6,5,7,8,-1.0,1,23,18,14
19,9.0,42,0.5,100,0.5,8,15,10,26,0.5,0,8,8,1,0.5,1,0,6,21,0.5,13,1,1,1,0.5,10,22,14,0,0.5,7,13,19,20,-1.0,19,11,16,22,0.5,14,15,0,19,-1.0,1,16,19,15,0.5,11,0,0,21,-1.0,18,28,1,8,0.5,15,15,11,1,0.5,10,0,19,19,0.5,1,10,10,19,-1.0,3,29,14,1,-1.0,0,16,10,28
20,10.046875,42,-5.5,100,0.5,6,29,10,15,-1.0,1,28,15,14,0.5,1,9,1,1,-1.0,0,21,8,0,-1.0,0,11,16,22,0.5,8,1,7,10,-1.0,1,8,10,23,-1.0,0,20,14,1,0.5,14,0,19,11,-1.0,19,29,10,17,-1.0,10,27,1,23,0.5,16,0,0,1,-1.0,10,21,0,29,-1.0,19,17,12,22,0.5,19,14,7,4,0.5,16,15,7,6
21,9.640625,42,0.5,100,0.5,18,0,14,22,0.5,11,29,6,11,0.5,14,14,0,19,-1.0,19,12,5,29,-1.0,6,23,6,0,-1.0,15,28,1,6,0.5,12,14,1,3,0.5,7,9,16,15,0.5,14,1,8,15,0.5,16,0,17,1,-1.0,1,17,19,21,0.5,0,27,19,6,0.5,19,14,6,4,0.5,0,20,2,1,0.5,14,0,11,1,-1.0,0,26,15,14
22,10.234375,42,0.5,100,0.5,10,1,19,26,0.5,10,0,18,1,0.5,6,14,9,14,-1.0,15,29,0,28,0.5,6,10,11,1,0.5,10,26,10,20,-1.0,1,2,12,29,0.5,1,10,2,29,-1.0,19,18,19,2,-1.0,14,15,13,29,0.5,7,7,0,7,0.5,6,28,0,1,-1.0,19,15,11,28,0.5,14,14,0,27,0.5,0,29,6,25,0.5,6,15,18,0
23,8.5625,42,24.0,86,1.5,0,21,0,25,1.5,7,3,17,28,1.5,15,29,10,28,1.5,5,0,12,1,1.5,6,29,0,24,1.5,8,0,0,5,1.5,14,22,11,22,1.5,19,22,3,29,1.5,6,0,0,9,1.5,14,0,19,29,1.5,19,11,1,1,1.5,7,2,6,17,1.5,0,2,9,14,1.5,4,1,12,28,1.5,6,26,19,2,1.5,17,15,0,10
24,9.765625,42,24.0,97,1.5,12,22,0,8,1.5,1,2,16,22,1.5,4,0,19,22,1.5,16,29,3,29,1.5,15,28,1,24,1.5,1,15,18,1,1.5,19,9,12,14,1.5,7,1,19,25,1.5,18,14,19,21,1.5,18,28,1,5,1.5,0,3,0,13,1.5,19,6,0,1,1.5,0,20,11,29,1.5,1,25,10,24,1.5,1,26,17,1,1.5,0,6,0,11
25,7.6875,42,24.0,82,1.5,0,27,11,0,1.5,0,9,1,14,1.5,14,28,14,29,1.5,0,26,0,22,1.5,1,16,2,29,1.5,0,28,13,22,1.5,9,1,19,25,1.5,7,0,0,12,1.5,7,2,0,3,1.5,18,0,18,1,1.5,7,13,8,1,1.5,15,22,0,19,1.5,19,13,9,15,1.5,17,28,14,15,1.5,17,1,17,0,1.5,13,1,1,5
26,10.0625,42,5.0,100,0.5,7,14,6,14,0.5,19,3,19,0,0.5,15,22,5,0,0.5,6,22,1,3,0.5,13,22,7,0,0.5,1,9,1,26,0.5,0,21,9,1,0.5,1,20,11,1,0.5,7,3,10,17,-1.0,0,16,10,21,0.5,6,12,19,17,-1.0,0,12,19,25,0.5,10,26,1,12,0.5,0,9,1,28,0.5,0,1,16,0,0.5,10,27,9,14
27,10.109375,42,5.0,100,0.5,10,18,0,27,-1.0,1,6,10,26,0.5,7,6,1,5,0.5,7,14,10,25,0.5,7,3,16,0,0.5,13,0,6,19,-1.0,19,10,6,22,0.5,19,16,5,0,0.5,1,3,6,25,0.5,13,14,1,0,0.5,6,20,11,1,0.5,9,1,19,23,0.5,6,23,0,29,0.5,6,29,0,21,0.5,11,22,3,0,0.5,1,28,19,18
28,10.21875,42,-8.5,100,-1.0,17,29,6,8,-1.0,0,8,10,27,-1.0,0,21,10,29,0.5,7,7,6,6,0.5,6,23,16,1,0.5,7,6,1,15,-1.0,1,21,8,15,-1.0,19,11,11,28,0.5,4,29,1,26,-1.0,19,18,10,21,0.5,1,3,6,26,-1.0,1,19,10,15,-1.0,6,21,10,17,-1.0,6,0,11,22,-1.0,10,23,9,15,-1.0,10,20,13,14
29,9.875,42,6.5,100,0.5,6,10,6,0,0.5,0,29,0,12,0.5,16,22,10,15,0.5,7,13,17,29,0.5,18,1,18,29,0.5,14,14,17,14,0.5,2,1,3,1,0.5,19,3,0,26,0.5,19,11,0,16,0.5,7,15,17,28,0.5,8,1,0,17,0.5,19,21,8,0,0.5,8,14,1,26,0.5,10,1,0,9,0.5,14,15,7,11,-1.0,16,29,6,15
30,9.859375,42,6.5,100,0.5,7,9,1,24,0.5,0,3,19,20,0.5,13,22,1,2,0.5,13,15,7,0,-1.0,17,15,19,28,0.5,18,15,15,22,0.5,6,13,12,29,0.5,19,7,7,12,0.5,6,27,0,17,0.5,14,14,12,14,0.5,6,23,6,25,0.5,1,9,10,23,0.5,6,4,1,5,0.5,14,28,6,11,0.5,0,15,7,14,0.5,5,29,0,27
31,10.625,42,5.0,100,-1.0,15,0,19,27,0.5,1,17,1,2,0.5,17,28,0,9,0.5,7,4,18,0,0.5,8,14,7,0,0.5,1,7,6,17,0.5,6,23,0,18,-1.0,12,15,11,28,0.5,15,1,7,13,0.5,19,12,10,1,0.5,13,22,6,3,0.5,6,16,19,20,0.5,13,15,19,11,0.5,0,2,16,22,0.5,6,4,17,29,0.5,11,14,1,15
32,10.84375,42,1.0,100,0.5,7,7,10,20,-1.0,19,8,18,14,-0.5,7,10,15,14,-1.0,11,0,11,22,0.5,0,10,10,1,0.5,1,23,6,21,0.5,4,0,16,14,0.5,1,25,18,0,0.5,19,16,11,14,0.5,19,11,0,3,0.5,1,14,12,14,0.5,7,5,14,0,-1.0,6,27,19,28,-1.0,1,11,17,29,0.5,5,1,2,1,0.5,1,4,0,19
33,10.296875,42,-2.5,100,-1.0,0,13,7,13,0.5,19,14,6,15,0.5,18,14,19,29,0.5,7,8,8,0,0.5,6,3,7,12,0.5,8,15,0,24,-1.0,12,29,6,19,0.5,6,5,18,1,-1.0,18,0,10,19,0.5,6,11,19,9,-1.0,15,22,0,5,0.5,14,1,6,26,-1.0,10,26,6,12,0.5,19,2,0,27,-1.0,9,1,10,20,-1.0,14,28,5,0
34,10.15625,42,0.5,100,-1.0,11,0,10,23,0.5,1,29,11,1,-1.0,5,1,19,26,-1.0,19,13,16,22,0.5,10,25,19,25,-1.0,13,0,10,28,0.5,6,24,7,7,0.5,1,13,8,14,-1.0,0,5,13,28,0.5,1,10,6,23,0.5,7,0,19,2,0.5,6,17,10,15,0.5,19,11,1,2,0.5,6,0,13,14,0.5,6,5,1,8,0.5,0,1,3,0
35,9.921875,42,6.5,100,0.5,11,28,11,22,0.5,16,0,4,0,0.5,16,29,0,28,0.5,0,16,14,29,0.5,18,29,14,15,0.5,0,26,11,1,0.5,14,14,0,1,0.5,10,28,1,5,0.5,7,3,17,14,0.5,7,15,6,23,0.5,7,14,6,7,0.5,19,7,10,0,-1.0,15,14,6,28,0.5,19,21,19,26,0.5,3,29,0,24,0.5,14,0,19,23
36,9.96875,42,5.0,100,0.5,0,9,0,19,-1.0,18,15,6,29,0.5,16,14,0,11,0.5,19,24,0,8,0.5,6,2,1,24,0.5,1,25,0,12,0.5,0,16,19,19,0.5,19,26,19,12,0.5,7,4,17,14,0.5,15,29,10,1,0.5,6,22,6,13,0.5,7,14,1,20,0.5,4,29,11,22,0.5,19,1,2,0,-1.0,7,10,16,22,0.5,19,21,9,1
37,9.6875,42,24.0,99,1.5,0,25,0,23,1.5,0,1,12,22,1.5,19,8,10,25,1.5,6,18,15,1,1.5,14,22,0,6,1.5,16,22,6,19,1.5,0,11,19,6,1.5,15,28,2,0,1.5,18,29,8,15,1.5,12,15,18,15,1.5,6,15,13,14,1.5,19,14,10,28,1.5,6,12,1,23,1.5,11,29,7,15,1.5,13,28,19,18,1.5,15,14,6,29
38,9.671875,42,5.0,100,0.5,1,28,19,4,0.5,19,7,7,1,0.5,2,29,4,1,0.5,10,21,16,28,-1.0,13,22,6,25,0.5,7,0,9,0,0.5,0,26,11,14,0.5,15,29,6,6,0.5,4,29,13,29,0.5,6,23,1,12,0.5,6,18,19,29,-1.0,1,24,18,29,0.5,12,14,9,15,0.5,6,7,12,15,0.5,8,14,0,19,0.5,18,14,12,22
39,9.015625,42,-1.0,100,0.5,6,21,6,6,-1.0,18,14,1,16,0.5,19,10,19,2,-1.0,10,22,5,0,0.5,14,15,0,4,0.5,0,13,7,1,0.5,7,11,11,1,0.5,19,29,6,8,0.5,13,14,10,1,0.5,1,1,0,23,0.5,6,17,19,21,0.5,9,0,1,0,-1.0,15,28,1,20,-1.0,1,12,0,15,-1.0,10,17,0,18,-1.0,0,27,6,11
40,9.078125,42,2.0,100,0.5,7,0,19,5,0.5,9,1,10,21,-1.0,10,14,6,1,0.5,6,7,0,5,-1.0,3,29,11,28,0.5,19,6,4,29,0.5,1,23,1,25,-1.0,7,13,1,19,0.5,19,25,10,27,0.5,19,4,5,1,0.5,6,16,18,14,0.5,6,24,19,9,0.5,6,6,6,2,-1.0,15,0,14,22,0.5,19,21,19,26,0.5,19,20,8,15
41,9.5625,42,3.5,100,-1.0,1,5,19,28,0.5,1,27,2,1,0.5,7,7,6,25,0.5,16,0,1,12,0.5,10,19,7,5,0.5,11,1,1,9,0.5,18,28,0,23,0.5,10,14,19,7,0.5,16,14,16,1,0.5,19,1,12,15,0.5,6,28,6,1,0.5,6,7,10,20,-1.0,1,10,19,18,0.5,0,13,12,14,0.5,3,1,17,0,-1.0,0,0,1,28
42,8.0,42,24.0,75,1.5,6,1,0,15,1.5,0,8,0,10,1.5,1,26,13,1,1.5,0,23,11,1,1.5,14,22,0,25,1.5,4,1,6,16,1.5,0,11,19,6,1.5,1,1,5,29,1.5,19,20,18,14,1.5,15,29,7,2,1.5,0,9,0,13,1.5,19,19,19,26,1.5,11,28,10,17,1.5,6,27,16,1,1.5,19,15,8,0,1.5,7,15,2,0
43,10.453125,42,-2.0,100,0.5,1,17,0,6,0.5,1,4,17,29,0.5,7,14,7,7,0.5,0,25,6,1,0.5,4,0,1,29,0.5,6,22,10,22,-1.0,1,7,19,10,-1.0,6,23,7,4,0.5,0,0,8,15,-1.0,5,0,6,21,-1.0,18,28,1,25,-0.5,19,24,6,4,-1.0,7,0,2,29,-1.0,1,22,15,29,0.5,6,18,10,0,0.5,7,10,6,26
44,10.296875,42,-5.5,100,-1.0,12,28,6,1,-1.0,7,8,0,7,0.5,10,24,10,16,0.5,7,3,13,15,-1.0,7,11,0,25,-1.0,13,22,10,28,-1.0,1,4,1,25,0.5,19,14,17,0,0.5,0,11,1,5,-1.0,1,22,0,4,-1.0,1,13,7,6,0.5,6,4,1,1,-1.0,18,28,0,10,-1.0,1,26,0,2,0.5,6,3,0,20,0.5,14,28,19,11
45,10.203125,42,3.5,100,0.5,10,21,1,26,0.5,9,0,0,18,0.5,4,0,16,22,0.5,1,7,17,0,0.5,7,2,14,15,0.5,19,6,1,4,0.5,19,28,9,15,0.5,18,14,19,26,0.5,10,27,6,10,0.5,18,1,10,1,-1.0,15,28,6,0,0.5,12,29,19,11,0.5,1,22,1,28,-1.0,3,1,19,9,0.5,0,1,10,24,-1.0,7,11,19,22
46,6.5625,42,24.0,66,1.5,10,23,1,7,1.5,17,14,17,15,1.5,0,4,1,2,1.5,0,6,1,3,1.5,18,28,19,4,1.5,14,15,10,21,1.5,6,15,15,28,1.5,6,0,14,22,1.5,0,17,0,28,1.5,1,19,14,1,1.5,6,7,1,24,1.5,4,1,11,29,1.5,0,25,13,14,1.5,11,1,5,0,1.5,6,22,13,22,1.5,8,0,18,0
47,10.109375,42,2.0,100,0.5,13,0,10,17,-1.0,2,0,10,28,0.5,6,16,1,0,0.5,0,3,14,0,-1.0,19,12,2,29,0.5,10,0,0,11,0.5,10,19,10,22,-1.0,19,28,1,7,0.5,0,0,1,11,0.5,1,9,0,20,0.5,10,18,7,0,-1.0,0,13,19,6,0.5,12,14,0,29,0.5,0,27,9,0,0.5,7,14,6,23,0.5,16,14,19,2
